date;latitude;longitude;time;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number;point_indicators
2026-08-13;17.37847;48.73989;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.4302;53.84719;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.44905;53.30963;2026-08-13 17:17:50;21.06677;51.968433;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;C2H4:2,CO2:5,HCOOH:71,HNO3:15,NH3:2;95;L3_0005;HNO3
2026-08-13;17.51138;50.69909;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.51899;52.47479;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.52473;49.60579;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.56003;53.12078;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.56441;49.39611;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.56554;52.19012;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.56732;54.82598;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.60024;52.02221;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;CO
2026-08-13;17.61914;54.53625;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HCOOH
2026-08-13;17.62042;54.96144;2026-08-13 17:17:50;21.06677;51.968433;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;C2H4:2,CO2:5,HCOOH:71,HNO3:15,NH3:2;95;L3_0005;HNO3,SO2
2026-08-13;17.64218;52.67616;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3,NH3
2026-08-13;17.64448;49.99133;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.64836;51.72982;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.66404;48.79849;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;CO2
2026-08-13;17.67703;52.51318;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
